=== ppl_streaming start 2026-08-16 00:27:42 ===
corpus /Users/kk/work/research/dsv4-streaming/streaming/../logs/ppl_corpus.npy (200,000 tokens, 195 windows available); running first 195 windows x 1024 tokens; cache 8.0 GB, store lru
[store] prefill (get_many) reads: page-cached; insert policy: fill-no-evict
[load] resident weights in 0.9s (9.4 GB active)
[load] done in 0.9s
[win 27/195] nll_sum 2192.14 over 1023 tok  ppl 8.5237  cumulative ppl 4.9634  83s (12.27 tok/s)  store {'hits': 14688, 'misses': 226675, 'hit_rate': 0.0609, 'read_gb': 3208.76, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 226110}  mem peak 25.3 GB
[win 28/195] nll_sum 2084.49 over 1023 tok  ppl 7.6724  cumulative ppl 5.0412  77s (13.24 tok/s)  store {'hits': 15252, 'misses': 234927, 'hit_rate': 0.061, 'read_gb': 3325.57, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 234362}  mem peak 25.3 GB
[win 29/195] nll_sum 1993.97 over 1023 tok  ppl 7.0227  cumulative ppl 5.0992  89s (11.47 tok/s)  store {'hits': 15817, 'misses': 243369, 'hit_rate': 0.061, 'read_gb': 3445.08, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 242804}  mem peak 25.3 GB
[win 30/195] nll_sum 2033.74 over 1023 tok  ppl 7.3010  cumulative ppl 5.1605  90s (11.34 tok/s)  store {'hits': 16382, 'misses': 251719, 'hit_rate': 0.0611, 'read_gb': 3563.28, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 251154}  mem peak 25.3 GB
[win 31/195] nll_sum 2301.56 over 1023 tok  ppl 9.4860  cumulative ppl 5.2629  81s (12.71 tok/s)  store {'hits': 16947, 'misses': 260309, 'hit_rate': 0.0611, 'read_gb': 3684.88, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 259744}  mem peak 25.3 GB
[win 32/195] nll_sum 2212.51 over 1023 tok  ppl 8.6952  cumulative ppl 5.3461  77s (13.28 tok/s)  store {'hits': 17512, 'misses': 268747, 'hit_rate': 0.0612, 'read_gb': 3804.32, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 268182}  mem peak 25.3 GB
[win 33/195] nll_sum 1979.08 over 1023 tok  ppl 6.9211  cumulative ppl 5.3881  76s (13.43 tok/s)  store {'hits': 18077, 'misses': 276999, 'hit_rate': 0.0613, 'read_gb': 3921.14, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 276434}  mem peak 25.3 GB
[win 34/195] nll_sum 1936.05 over 1023 tok  ppl 6.6361  cumulative ppl 5.4212  82s (12.53 tok/s)  store {'hits': 18641, 'misses': 285506, 'hit_rate': 0.0613, 'read_gb': 4041.56, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 284941}  mem peak 25.3 GB
[win 35/195] nll_sum 1771.70 over 1023 tok  ppl 5.6512  cumulative ppl 5.4277  80s (12.85 tok/s)  store {'hits': 19206, 'misses': 294032, 'hit_rate': 0.0613, 'read_gb': 4162.25, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 293467}  mem peak 25.3 GB
[win 36/195] nll_sum 1812.68 over 1023 tok  ppl 5.8821  cumulative ppl 5.4398  76s (13.41 tok/s)  store {'hits': 19771, 'misses': 302709, 'hit_rate': 0.0613, 'read_gb': 4285.08, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 302144}  mem peak 25.3 GB
